latest_degree,specialization,currently_employed,current_salary,location,recommended_for_job
PhD,Electrical Engineering,1,82995,Houston,0
Bachelor,Computer Science,1,70757,Chicago,0
PhD,Electrical Engineering,1,39692,Los Angeles,0
Master,Business Administration,0,75758,Chicago,1
Bachelor,Computer Science,0,102409,Chicago,1
Bachelor,Business Administration,0,101211,San Francisco,1
Bachelor,Electrical Engineering,0,95697,Houston,0
Master,Computer Science,0,67065,Los Angeles,0
PhD,Electrical Engineering,1,62606,New York,1
Bachelor,Computer Science,0,41534,Chicago,0
PhD,Business Administration,0,70397,New York,1
PhD,Electrical Engineering,1,31016,Houston,0
Master,Electrical Engineering,1,119789,Chicago,0
Bachelor,Computer Science,1,85591,New York,0
PhD,Computer Science,0,119812,San Francisco,0
Bachelor,Electrical Engineering,1,53247,New York,0
Bachelor,Computer Science,1,54300,San Francisco,0
Master,Electrical Engineering,1,104065,Los Angeles,0
Bachelor,Computer Science,0,112798,Houston,1
Bachelor,Business Administration,1,39268,New York,1
PhD,Computer Science,1,116807,Chicago,0
Master,Business Administration,0,42185,Houston,0
Bachelor,Computer Science,1,93704,New York,1
PhD,Computer Science,0,116779,Chicago,0
Master,Electrical Engineering,0,69099,Chicago,1
Master,Computer Science,1,38571,Chicago,1
PhD,Computer Science,0,68044,Chicago,1
PhD,Business Administration,1,81214,New York,1
PhD,Computer Science,1,91228,Los Angeles,1
PhD,Electrical Engineering,1,78984,San Francisco,0
PhD,Business Administration,1,70774,San Francisco,0
Bachelor,Electrical Engineering,0,32568,San Francisco,1
Bachelor,Electrical Engineering,1,92592,Los Angeles,0
Master,Electrical Engineering,1,97563,Chicago,1
Bachelor,Electrical Engineering,1,32695,Chicago,0
Bachelor,Business Administration,0,78190,Houston,0
Bachelor,Computer Science,0,35258,San Francisco,0
PhD,Electrical Engineering,1,117538,San Francisco,0
Master,Business Administration,0,69504,Chicago,0
Master,Electrical Engineering,0,63159,San Francisco,0
Master,Computer Science,1,43986,Chicago,0
Master,Business Administration,1,91858,Chicago,0
Bachelor,Business Administration,1,42666,Chicago,1
Bachelor,Computer Science,1,68660,New York,1
PhD,Business Administration,1,33561,New York,0
Master,Computer Science,0,56854,New York,0
Bachelor,Business Administration,1,94505,New York,0
Bachelor,Business Administration,1,82251,Los Angeles,1
PhD,Computer Science,1,52662,Houston,0
PhD,Computer Science,1,38392,Houston,0
PhD,Business Administration,1,60535,Chicago,1
Bachelor,Business Administration,0,108603,San Francisco,1
Bachelor,Computer Science,1,82256,New York,1
PhD,Computer Science,0,119135,Houston,0
Master,Business Administration,1,65222,Houston,1
PhD,Business Administration,1,107373,New York,0
PhD,Business Administration,1,109575,Los Angeles,1
PhD,Computer Science,0,114651,Los Angeles,0
PhD,Business Administration,1,93335,Houston,0
Bachelor,Electrical Engineering,1,40965,Los Angeles,0
Master,Computer Science,1,54538,New York,1
PhD,Business Administration,1,100592,Houston,0
Master,Computer Science,1,38110,New York,0
Master,Electrical Engineering,1,109309,Los Angeles,0
Master,Computer Science,1,57266,New York,1
PhD,Business Administration,0,82992,Los Angeles,0
Bachelor,Electrical Engineering,1,112948,Los Angeles,0
PhD,Electrical Engineering,1,36910,New York,0
Master,Business Administration,1,30206,Los Angeles,0
Master,Business Administration,0,117054,Chicago,1
Bachelor,Business Administration,0,117897,New York,0
PhD,Computer Science,1,53419,Chicago,1
Master,Computer Science,0,80636,New York,1
Bachelor,Computer Science,1,80015,Los Angeles,0
Master,Business Administration,1,84268,Los Angeles,1
Bachelor,Business Administration,0,117939,Houston,1
Bachelor,Computer Science,1,48141,Houston,1
PhD,Electrical Engineering,0,110356,Chicago,0
Master,Computer Science,0,101910,Los Angeles,1
PhD,Electrical Engineering,0,86044,Houston,1
Master,Business Administration,1,97214,Los Angeles,0
PhD,Business Administration,1,63827,New York,0
Master,Computer Science,1,85820,Houston,1
PhD,Computer Science,1,92623,Chicago,1
Bachelor,Business Administration,1,111734,Houston,1
Master,Computer Science,1,105450,Los Angeles,0
Master,Business Administration,1,52299,San Francisco,1
Bachelor,Business Administration,0,73585,San Francisco,0
PhD,Electrical Engineering,1,94044,Los Angeles,1
Master,Computer Science,1,72557,New York,1
Master,Business Administration,1,79080,Houston,0
PhD,Computer Science,0,32693,San Francisco,1
Bachelor,Electrical Engineering,0,99163,New York,0
PhD,Electrical Engineering,0,55939,Los Angeles,1
PhD,Computer Science,1,78925,New York,0
PhD,Computer Science,0,72941,Los Angeles,0
Master,Business Administration,0,51834,Houston,1
Bachelor,Electrical Engineering,1,48047,New York,0
Bachelor,Electrical Engineering,1,56105,Houston,1
PhD,Electrical Engineering,1,105766,New York,0
Master,Computer Science,0,45707,Los Angeles,0
PhD,Business Administration,1,51976,Los Angeles,0
Master,Computer Science,1,74262,New York,1
Master,Computer Science,1,53776,Los Angeles,0
Master,Computer Science,1,60080,Chicago,0
Master,Business Administration,1,96842,Chicago,0
Bachelor,Computer Science,1,91373,Houston,1
Master,Electrical Engineering,0,36776,Chicago,1
Master,Electrical Engineering,1,85016,Chicago,0
PhD,Electrical Engineering,0,39474,San Francisco,0
PhD,Business Administration,0,88053,San Francisco,1
Bachelor,Computer Science,1,51959,San Francisco,0
PhD,Business Administration,0,35530,San Francisco,0
Master,Computer Science,0,33748,Los Angeles,0
PhD,Electrical Engineering,0,43545,Houston,0
Bachelor,Computer Science,1,96199,Houston,0
PhD,Computer Science,0,64766,Chicago,0
PhD,Computer Science,0,103530,Houston,1
Bachelor,Business Administration,0,91087,Chicago,0
Bachelor,Computer Science,0,98840,Houston,0
Master,Computer Science,1,84384,New York,1
PhD,Computer Science,1,81005,New York,1
Master,Business Administration,0,76576,Houston,1
PhD,Business Administration,1,69353,Los Angeles,1
PhD,Business Administration,1,92003,Chicago,0
Master,Computer Science,0,113211,Houston,1
PhD,Electrical Engineering,1,82733,Chicago,0
PhD,Electrical Engineering,1,95318,San Francisco,1
PhD,Electrical Engineering,0,119474,Houston,1
Bachelor,Computer Science,0,53664,Los Angeles,1
Master,Electrical Engineering,1,97172,San Francisco,0
Bachelor,Electrical Engineering,1,115616,Houston,1
Master,Electrical Engineering,1,56736,New York,1
Master,Computer Science,1,30854,Houston,1
PhD,Electrical Engineering,0,68623,New York,0
Master,Electrical Engineering,0,37392,New York,0
Bachelor,Computer Science,0,85680,Houston,1
Bachelor,Business Administration,0,76717,Houston,0
Bachelor,Electrical Engineering,0,117092,New York,1
Master,Business Administration,1,80859,Chicago,0
Bachelor,Electrical Engineering,1,56309,San Francisco,1
Master,Computer Science,0,117455,Los Angeles,0
Bachelor,Business Administration,0,93734,Houston,1
Bachelor,Business Administration,0,100467,San Francisco,0
Master,Business Administration,1,82662,San Francisco,0
Bachelor,Business Administration,1,42688,Chicago,1
PhD,Electrical Engineering,1,55342,San Francisco,1
Master,Electrical Engineering,0,67157,Houston,0
Master,Business Administration,0,97863,San Francisco,1
Master,Electrical Engineering,0,82083,Houston,1
PhD,Business Administration,0,95733,Houston,1
Master,Business Administration,0,119045,New York,1
Bachelor,Computer Science,1,64698,Chicago,0
Bachelor,Business Administration,0,110623,Los Angeles,1
Bachelor,Electrical Engineering,1,52671,New York,0
Master,Business Administration,1,55184,Los Angeles,0
Bachelor,Computer Science,1,72107,Houston,1
Master,Electrical Engineering,1,116202,New York,1
Bachelor,Computer Science,1,81663,San Francisco,0
PhD,Computer Science,0,45708,San Francisco,1
PhD,Business Administration,0,79811,Los Angeles,1
PhD,Computer Science,0,32811,Houston,0
PhD,Computer Science,1,86250,Los Angeles,0
Master,Electrical Engineering,1,102082,Chicago,0
Bachelor,Computer Science,1,64754,San Francisco,1
PhD,Business Administration,1,41411,New York,1
Master,Business Administration,1,32911,New York,0
PhD,Business Administration,1,97270,New York,0
PhD,Computer Science,0,113763,San Francisco,1
Master,Electrical Engineering,1,38680,Houston,1
Master,Business Administration,1,114896,San Francisco,1
Bachelor,Computer Science,0,113879,San Francisco,0
Bachelor,Business Administration,1,101295,New York,1
PhD,Business Administration,0,118614,San Francisco,1
PhD,Electrical Engineering,0,41111,New York,0
Bachelor,Business Administration,0,67504,Houston,1
Bachelor,Electrical Engineering,1,31802,Chicago,0
Master,Computer Science,0,38155,New York,1
Bachelor,Business Administration,0,103656,Los Angeles,0
Bachelor,Computer Science,1,69384,Chicago,0
PhD,Computer Science,0,77254,Houston,0
Bachelor,Computer Science,1,51918,Chicago,1
PhD,Business Administration,1,115981,New York,1
Bachelor,Electrical Engineering,0,90713,Houston,1
Master,Business Administration,1,60306,Los Angeles,1
Bachelor,Computer Science,1,46646,New York,0
Bachelor,Electrical Engineering,0,76843,New York,1
Bachelor,Computer Science,0,46371,Houston,1
PhD,Electrical Engineering,0,107371,Houston,0
Master,Business Administration,0,32049,Chicago,0
Bachelor,Electrical Engineering,1,61616,Los Angeles,0
PhD,Business Administration,0,50932,Chicago,0
Master,Computer Science,0,59855,Chicago,1
PhD,Electrical Engineering,0,91434,New York,0
PhD,Computer Science,1,102694,Houston,1
Master,Electrical Engineering,1,73016,New York,1
Bachelor,Business Administration,1,37400,Los Angeles,0
PhD,Electrical Engineering,1,72642,Chicago,0
PhD,Electrical Engineering,1,45151,Los Angeles,0
Bachelor,Business Administration,0,81407,Houston,0
Bachelor,Business Administration,1,96690,Houston,0
Master,Business Administration,1,34499,San Francisco,1
Master,Electrical Engineering,1,36295,Los Angeles,0
Master,Computer Science,0,89040,New York,1
Bachelor,Electrical Engineering,0,42183,Los Angeles,0
PhD,Electrical Engineering,1,59299,Chicago,1
PhD,Computer Science,0,42874,Houston,1
Master,Business Administration,1,62711,Houston,1
Bachelor,Electrical Engineering,0,35539,Los Angeles,0
PhD,Computer Science,0,83351,Los Angeles,0
Master,Business Administration,1,91267,Los Angeles,0
PhD,Business Administration,0,78354,Chicago,1
PhD,Electrical Engineering,1,32557,Chicago,1
Bachelor,Business Administration,1,68360,New York,0
Bachelor,Business Administration,1,112018,Los Angeles,0
PhD,Computer Science,0,32200,New York,1
Master,Computer Science,0,98497,San Francisco,1
Bachelor,Business Administration,1,76975,Chicago,0
PhD,Computer Science,1,51357,Houston,0
Bachelor,Business Administration,0,107505,San Francisco,0
Bachelor,Electrical Engineering,1,32869,Houston,1
Bachelor,Computer Science,0,91135,San Francisco,1
PhD,Business Administration,0,80108,New York,0
Master,Business Administration,0,68467,New York,0
Master,Computer Science,1,53328,Chicago,0
Master,Computer Science,1,116831,Houston,0
Bachelor,Electrical Engineering,0,33987,San Francisco,0
PhD,Business Administration,1,88871,Los Angeles,1
Bachelor,Electrical Engineering,1,52399,Los Angeles,0
Master,Electrical Engineering,0,76214,Chicago,1
Master,Electrical Engineering,0,116416,Houston,1
PhD,Computer Science,1,100271,Los Angeles,1
Bachelor,Electrical Engineering,0,74064,Chicago,1
Master,Computer Science,1,100091,Chicago,1
PhD,Computer Science,0,70818,Houston,1
Bachelor,Electrical Engineering,0,75525,Los Angeles,1
Bachelor,Electrical Engineering,1,49830,Los Angeles,1
Master,Business Administration,1,47429,Los Angeles,0
Master,Electrical Engineering,1,36893,New York,0
Bachelor,Business Administration,1,109909,Los Angeles,0
Bachelor,Electrical Engineering,1,77333,San Francisco,0
Master,Electrical Engineering,0,33436,New York,0
Bachelor,Electrical Engineering,0,104290,New York,1
Master,Electrical Engineering,1,106213,New York,1
Bachelor,Business Administration,0,35895,New York,1
Master,Business Administration,1,49738,Chicago,1
PhD,Electrical Engineering,0,60746,San Francisco,1
Master,Electrical Engineering,0,79377,Houston,0
Master,Business Administration,1,78404,Los Angeles,0
PhD,Computer Science,1,84045,New York,1
Bachelor,Computer Science,1,69790,Houston,0
PhD,Computer Science,0,35600,Chicago,0
Master,Business Administration,1,70764,Houston,0
Bachelor,Business Administration,1,104543,New York,0
PhD,Computer Science,1,75714,San Francisco,0
Bachelor,Computer Science,1,86835,Houston,1
Bachelor,Electrical Engineering,1,103744,New York,0
PhD,Business Administration,1,86491,New York,0
Bachelor,Business Administration,0,48589,Los Angeles,1
PhD,Computer Science,0,73484,Los Angeles,1
Master,Computer Science,0,112989,San Francisco,1
Bachelor,Business Administration,0,66212,Los Angeles,1
Master,Electrical Engineering,1,73525,San Francisco,1
Master,Computer Science,1,77202,Chicago,1
Bachelor,Business Administration,0,62635,Chicago,1
PhD,Business Administration,0,93208,Los Angeles,1
Bachelor,Electrical Engineering,0,63828,Chicago,0
Master,Electrical Engineering,1,48711,Houston,1
Master,Computer Science,1,33420,Houston,1
PhD,Computer Science,1,30301,Houston,0
Bachelor,Computer Science,0,75236,Chicago,1
Master,Business Administration,0,96235,Houston,1
Master,Computer Science,0,84240,San Francisco,1
Master,Business Administration,0,95726,New York,1
PhD,Computer Science,0,40492,Los Angeles,0
Master,Electrical Engineering,1,36102,San Francisco,0
Master,Electrical Engineering,1,80336,Houston,1
Bachelor,Business Administration,1,115314,New York,0
Bachelor,Electrical Engineering,1,56641,Los Angeles,0
Master,Business Administration,1,64584,San Francisco,0
Master,Business Administration,0,62745,Los Angeles,0
Bachelor,Electrical Engineering,1,53093,Chicago,0
PhD,Business Administration,0,96105,Houston,0
PhD,Electrical Engineering,1,81885,San Francisco,1
PhD,Computer Science,0,66631,San Francisco,1
PhD,Computer Science,0,102991,New York,0
PhD,Electrical Engineering,0,34014,New York,0
PhD,Electrical Engineering,0,41093,New York,0
PhD,Electrical Engineering,0,48070,Los Angeles,1
PhD,Electrical Engineering,0,65777,Houston,1
Bachelor,Computer Science,1,86958,Los Angeles,1
PhD,Business Administration,0,112074,Houston,1
PhD,Business Administration,0,40729,San Francisco,1
PhD,Computer Science,1,75017,Los Angeles,1
Master,Business Administration,0,96320,Los Angeles,0
Bachelor,Computer Science,1,57751,Los Angeles,1
Bachelor,Business Administration,1,108069,Chicago,1
Bachelor,Electrical Engineering,0,84748,Houston,1
PhD,Electrical Engineering,0,35801,Houston,0
PhD,Electrical Engineering,1,49190,Los Angeles,1
Master,Computer Science,0,79689,Chicago,0
Bachelor,Computer Science,1,80993,Los Angeles,0
PhD,Business Administration,0,59592,Houston,1
Bachelor,Business Administration,1,40647,San Francisco,1
Master,Business Administration,0,38716,Chicago,1
Master,Computer Science,0,118891,Chicago,0
Master,Business Administration,1,117545,Los Angeles,1
Bachelor,Electrical Engineering,1,119912,San Francisco,0
PhD,Business Administration,1,100316,Houston,0
PhD,Electrical Engineering,1,32368,New York,1
Master,Computer Science,0,107575,Houston,1
PhD,Electrical Engineering,1,36655,Houston,1
Master,Electrical Engineering,1,100031,San Francisco,0
Bachelor,Electrical Engineering,0,106429,Chicago,1
Master,Computer Science,0,117922,Houston,0
Bachelor,Computer Science,1,85766,Chicago,1
Master,Computer Science,0,43403,San Francisco,0
PhD,Computer Science,1,62097,San Francisco,1
PhD,Business Administration,0,108657,Los Angeles,1
Master,Computer Science,1,40966,New York,0
PhD,Electrical Engineering,0,82921,San Francisco,0
PhD,Computer Science,1,79726,San Francisco,1
PhD,Business Administration,1,80300,Chicago,0
Bachelor,Business Administration,0,52677,San Francisco,0
PhD,Business Administration,0,85609,Houston,0
Bachelor,Electrical Engineering,1,86661,Los Angeles,0
Master,Computer Science,1,61024,Los Angeles,1
PhD,Computer Science,0,100313,Houston,0
PhD,Computer Science,0,83006,San Francisco,1
PhD,Electrical Engineering,0,45338,New York,1
Master,Electrical Engineering,0,98027,San Francisco,1
Bachelor,Business Administration,0,110135,Los Angeles,0
Bachelor,Business Administration,0,49508,New York,1
PhD,Computer Science,0,33051,Chicago,1
Master,Electrical Engineering,0,78747,Chicago,1
Master,Electrical Engineering,0,117142,San Francisco,1
Master,Computer Science,1,117235,San Francisco,1
Master,Computer Science,0,84021,New York,0
Master,Business Administration,0,96412,New York,1
Bachelor,Business Administration,1,88335,San Francisco,0
Bachelor,Business Administration,1,86179,Los Angeles,1
Bachelor,Computer Science,1,62093,Chicago,1
PhD,Computer Science,1,99678,New York,0
Master,Business Administration,1,110738,Los Angeles,0
PhD,Business Administration,1,69734,San Francisco,1
Master,Electrical Engineering,0,102615,Houston,1
Bachelor,Electrical Engineering,1,103523,New York,1
PhD,Business Administration,1,47019,Houston,1
Bachelor,Business Administration,1,113613,Los Angeles,1
Master,Electrical Engineering,0,116672,Chicago,0
Master,Business Administration,1,103847,Los Angeles,1
Master,Electrical Engineering,0,112750,Chicago,1
Bachelor,Electrical Engineering,1,109634,Los Angeles,0
Master,Electrical Engineering,1,58251,New York,0
Bachelor,Computer Science,0,55945,New York,1
PhD,Computer Science,0,62217,Houston,0
Master,Business Administration,1,38308,Los Angeles,0
Master,Electrical Engineering,0,35949,Los Angeles,0
Master,Computer Science,0,81990,Houston,1
PhD,Business Administration,1,31150,San Francisco,1
Master,Business Administration,1,119480,Los Angeles,1
Bachelor,Business Administration,1,104740,Los Angeles,0
Bachelor,Business Administration,0,96617,Los Angeles,1
Master,Business Administration,1,46896,San Francisco,1
Master,Electrical Engineering,1,76175,New York,0
PhD,Business Administration,0,37805,Houston,1
PhD,Electrical Engineering,0,35237,San Francisco,0
PhD,Computer Science,1,50056,Chicago,0
Master,Business Administration,0,75543,Chicago,0
PhD,Computer Science,1,86556,San Francisco,0
PhD,Electrical Engineering,0,33343,San Francisco,1
Bachelor,Electrical Engineering,1,43500,New York,1
PhD,Computer Science,0,83222,Chicago,1
Bachelor,Business Administration,0,59375,Houston,0
Bachelor,Business Administration,0,39662,Los Angeles,1
PhD,Computer Science,0,46964,Los Angeles,1
Bachelor,Computer Science,1,89638,New York,0
Master,Computer Science,0,103666,New York,0
Master,Business Administration,1,115067,Chicago,1
PhD,Business Administration,0,97215,Houston,0
Master,Business Administration,0,99042,Houston,1
Bachelor,Computer Science,1,43284,San Francisco,0
Master,Business Administration,0,102789,New York,0
PhD,Electrical Engineering,0,114664,Los Angeles,1
PhD,Computer Science,1,91389,Los Angeles,0
Bachelor,Business Administration,0,39435,Chicago,0
PhD,Computer Science,1,84340,Los Angeles,0
Master,Electrical Engineering,0,74078,Houston,1
PhD,Electrical Engineering,0,108832,Houston,1
Bachelor,Computer Science,0,81293,New York,1
PhD,Computer Science,1,108781,Chicago,0
Master,Electrical Engineering,0,90403,Los Angeles,0
Bachelor,Computer Science,0,59124,New York,0
Master,Electrical Engineering,0,73919,San Francisco,0
Bachelor,Electrical Engineering,0,65247,San Francisco,1
PhD,Business Administration,0,92752,Los Angeles,1
Bachelor,Computer Science,0,86573,Los Angeles,0
Bachelor,Computer Science,0,89101,Los Angeles,1
PhD,Business Administration,0,56646,Houston,1
Master,Electrical Engineering,0,53049,Los Angeles,1
PhD,Computer Science,1,109605,San Francisco,0
Bachelor,Business Administration,0,98385,Los Angeles,1
PhD,Business Administration,1,70158,Chicago,1
Bachelor,Computer Science,1,95417,San Francisco,1
PhD,Business Administration,1,53289,Chicago,1
PhD,Electrical Engineering,0,39823,San Francisco,1
Master,Business Administration,1,90160,New York,0
Bachelor,Electrical Engineering,1,71975,San Francisco,1
Master,Electrical Engineering,1,39540,San Francisco,1
Bachelor,Computer Science,0,46364,Chicago,0
PhD,Business Administration,1,34611,Chicago,1
Bachelor,Electrical Engineering,0,57663,San Francisco,0
Master,Electrical Engineering,1,81991,San Francisco,0
Master,Business Administration,1,87679,Houston,0
Master,Electrical Engineering,0,60977,New York,0
Bachelor,Business Administration,0,79115,New York,1
Master,Computer Science,1,118223,Los Angeles,1
Master,Electrical Engineering,1,90890,San Francisco,0
Master,Electrical Engineering,1,96387,San Francisco,1
PhD,Business Administration,0,48071,San Francisco,0
PhD,Business Administration,0,89275,San Francisco,1
Bachelor,Business Administration,1,102369,New York,1
Bachelor,Business Administration,1,41938,Chicago,0
Master,Electrical Engineering,0,65195,Houston,1
PhD,Computer Science,0,34000,Chicago,0
Master,Computer Science,1,100588,Chicago,1
Master,Computer Science,0,68304,New York,1
PhD,Computer Science,1,99449,Houston,1
PhD,Business Administration,0,112986,San Francisco,0
PhD,Electrical Engineering,1,119643,New York,0
Bachelor,Electrical Engineering,1,50764,New York,0
Bachelor,Electrical Engineering,1,116027,Houston,1
Master,Business Administration,0,68494,Los Angeles,0
Bachelor,Electrical Engineering,1,33373,New York,0
PhD,Business Administration,1,42161,Chicago,0
PhD,Electrical Engineering,0,57350,Chicago,1
Bachelor,Computer Science,1,55351,San Francisco,1
Master,Business Administration,1,118668,New York,1
Master,Electrical Engineering,1,45305,San Francisco,1
Bachelor,Computer Science,0,105353,New York,0
Master,Computer Science,0,106797,Houston,1
Master,Computer Science,0,95953,New York,0
Master,Business Administration,0,87458,Los Angeles,1
PhD,Business Administration,1,50358,Chicago,0
PhD,Electrical Engineering,0,33267,Houston,0
Bachelor,Computer Science,0,112745,Chicago,1
PhD,Electrical Engineering,0,119588,San Francisco,0
Master,Electrical Engineering,1,68513,Houston,0
PhD,Computer Science,1,56092,Los Angeles,0
Bachelor,Electrical Engineering,1,41338,Chicago,0
PhD,Business Administration,0,30412,New York,1
Master,Electrical Engineering,1,37543,New York,1
Master,Computer Science,1,63496,New York,0
Bachelor,Business Administration,0,90692,Houston,1
PhD,Business Administration,1,119084,Los Angeles,0
PhD,Electrical Engineering,0,74425,Los Angeles,0
PhD,Electrical Engineering,0,68756,Los Angeles,1
Master,Business Administration,1,48888,Chicago,0
Bachelor,Electrical Engineering,0,65735,Houston,1
PhD,Computer Science,0,77295,New York,0
Master,Electrical Engineering,0,113042,Chicago,1
Master,Electrical Engineering,0,115999,Los Angeles,1
Master,Business Administration,0,47955,New York,0
PhD,Electrical Engineering,0,67841,Houston,1
PhD,Electrical Engineering,1,100640,San Francisco,0
PhD,Electrical Engineering,0,95510,Los Angeles,1
PhD,Computer Science,0,64911,Los Angeles,0
PhD,Electrical Engineering,0,89031,Los Angeles,1
PhD,Computer Science,0,118726,Los Angeles,1
PhD,Computer Science,1,37357,New York,1
PhD,Computer Science,1,62479,Houston,0
PhD,Computer Science,0,91476,Chicago,1
Master,Business Administration,1,74811,New York,0
PhD,Computer Science,0,66208,Houston,1
Bachelor,Electrical Engineering,0,50150,Chicago,1
Master,Computer Science,0,101180,Los Angeles,0
PhD,Electrical Engineering,0,73286,Houston,1
Bachelor,Computer Science,1,98450,Los Angeles,0
PhD,Business Administration,1,51352,Houston,0
Bachelor,Computer Science,0,85069,San Francisco,0
Bachelor,Computer Science,0,44397,Los Angeles,0
Bachelor,Business Administration,1,71555,Los Angeles,0
Bachelor,Computer Science,1,76959,Los Angeles,1
Master,Electrical Engineering,0,30728,New York,0
Master,Computer Science,1,80517,Chicago,1
Bachelor,Computer Science,0,96234,Los Angeles,0
PhD,Computer Science,1,69954,Los Angeles,0
Bachelor,Business Administration,1,77280,New York,1
Master,Computer Science,1,109459,New York,1
PhD,Computer Science,1,46779,San Francisco,0
Master,Electrical Engineering,0,93932,Houston,0
Master,Computer Science,0,102936,Los Angeles,1
PhD,Computer Science,1,54466,Houston,1
Bachelor,Computer Science,0,66939,New York,0
Bachelor,Computer Science,1,99896,New York,0
Bachelor,Electrical Engineering,1,65270,San Francisco,0
Bachelor,Electrical Engineering,0,89163,Chicago,1
PhD,Business Administration,0,112637,New York,0
PhD,Computer Science,0,81934,Los Angeles,1
PhD,Business Administration,1,94895,San Francisco,1
Master,Business Administration,0,62307,Chicago,0
PhD,Computer Science,0,84098,San Francisco,0
Bachelor,Electrical Engineering,0,90921,New York,1
Master,Electrical Engineering,0,35486,Chicago,0
Bachelor,Computer Science,1,38335,Houston,0
Bachelor,Computer Science,1,116900,Chicago,1
PhD,Electrical Engineering,1,119112,Los Angeles,0
PhD,Computer Science,1,41130,Houston,1
Bachelor,Computer Science,1,117508,Houston,1
Bachelor,Computer Science,1,90566,Los Angeles,0
Master,Electrical Engineering,1,96703,Houston,1
PhD,Business Administration,0,57192,New York,1
Master,Business Administration,1,31062,Chicago,0
Master,Computer Science,1,114076,Chicago,1
Master,Electrical Engineering,1,119780,Los Angeles,0
Bachelor,Computer Science,1,51545,New York,1
Master,Electrical Engineering,0,51689,Houston,1
Master,Computer Science,1,41174,Chicago,1
Bachelor,Electrical Engineering,1,118461,Chicago,1
PhD,Electrical Engineering,0,39348,Chicago,1
PhD,Business Administration,1,53714,Chicago,1
Master,Computer Science,1,68102,San Francisco,1
Bachelor,Business Administration,1,104460,Los Angeles,0
PhD,Business Administration,1,119930,Houston,1
Master,Electrical Engineering,1,36801,Houston,0
Master,Computer Science,1,102267,Los Angeles,1
Bachelor,Electrical Engineering,1,78136,New York,1
Master,Electrical Engineering,0,53625,Los Angeles,0
PhD,Electrical Engineering,0,112873,Chicago,0
Bachelor,Computer Science,1,102592,Chicago,0
PhD,Computer Science,0,107052,Los Angeles,1
PhD,Electrical Engineering,1,74261,Los Angeles,0
PhD,Computer Science,0,31542,Houston,1
Master,Electrical Engineering,1,51677,Houston,1
Master,Computer Science,0,76732,San Francisco,0
PhD,Computer Science,1,80343,San Francisco,1
